variant,curve,x,y
with_ttl,precision_recall,1.000000,0.542784
with_ttl,precision_recall,1.000000,0.542791
with_ttl,precision_recall,1.000000,0.542798
with_ttl,precision_recall,1.000000,0.542819
with_ttl,precision_recall,1.000000,0.542833
with_ttl,precision_recall,1.000000,0.542868
with_ttl,precision_recall,1.000000,0.542882
with_ttl,precision_recall,1.000000,0.542889
with_ttl,precision_recall,1.000000,0.542896
with_ttl,precision_recall,1.000000,0.542910
with_ttl,precision_recall,1.000000,0.542917
with_ttl,precision_recall,1.000000,0.542924
with_ttl,precision_recall,1.000000,0.542951
with_ttl,precision_recall,1.000000,0.542958
with_ttl,precision_recall,1.000000,0.542965
with_ttl,precision_recall,1.000000,0.542972
with_ttl,precision_recall,1.000000,0.543000
with_ttl,precision_recall,1.000000,0.543007
with_ttl,precision_recall,1.000000,0.543014
with_ttl,precision_recall,1.000000,0.543028
with_ttl,precision_recall,1.000000,0.543056
with_ttl,precision_recall,1.000000,0.543063
with_ttl,precision_recall,1.000000,0.543070
with_ttl,precision_recall,1.000000,0.543077
with_ttl,precision_recall,1.000000,0.543084
with_ttl,precision_recall,1.000000,0.543091
with_ttl,precision_recall,1.000000,0.543112
with_ttl,precision_recall,1.000000,0.543119
with_ttl,precision_recall,1.000000,0.543133
with_ttl,precision_recall,1.000000,0.543140
with_ttl,precision_recall,1.000000,0.543147
with_ttl,precision_recall,1.000000,0.543161
with_ttl,precision_recall,1.000000,0.543175
with_ttl,precision_recall,1.000000,0.543182
with_ttl,precision_recall,1.000000,0.543189
with_ttl,precision_recall,1.000000,0.543203
with_ttl,precision_recall,1.000000,0.543210
with_ttl,precision_recall,1.000000,0.543224
with_ttl,precision_recall,1.000000,0.543230
with_ttl,precision_recall,1.000000,0.543244
with_ttl,precision_recall,1.000000,0.543251
with_ttl,precision_recall,1.000000,0.543258
with_ttl,precision_recall,1.000000,0.543265
with_ttl,precision_recall,1.000000,0.543272
with_ttl,precision_recall,1.000000,0.543279
with_ttl,precision_recall,1.000000,0.543286
with_ttl,precision_recall,1.000000,0.543300
with_ttl,precision_recall,1.000000,0.543349
with_ttl,precision_recall,1.000000,0.543356
with_ttl,precision_recall,1.000000,0.543363
with_ttl,precision_recall,1.000000,0.543370
with_ttl,precision_recall,1.000000,0.543377
with_ttl,precision_recall,1.000000,0.543384
with_ttl,precision_recall,1.000000,0.543405
with_ttl,precision_recall,1.000000,0.543412
with_ttl,precision_recall,1.000000,0.543419
with_ttl,precision_recall,1.000000,0.543426
with_ttl,precision_recall,1.000000,0.543433
with_ttl,precision_recall,1.000000,0.543440
